gene_symbol	ensembl_gene_id	disease	association_score	evidence_count
SOCS3	ENSG89797896936	nafld	0.34	32
SOCS3	ENSG89797896936	obesity	0.72	120
SOD1	ENSG39951086726	nafld	0.65	133
SOD1	ENSG39951086726	obesity	0.51	160
SOD2	ENSG10276800548	type_2_diabetes	0.77	135
SOD2	ENSG10276800548	obesity	0.34	155
SOD2	ENSG10276800548	nafld	0.61	144
SOD3	ENSG49764645356	nafld	0.83	56
SORT1	ENSG75622764595	obesity	0.64	181
SQLE	ENSG48941062439	obesity	0.37	26
SREBF1	ENSG45761987310	obesity	0.81	131
SREBF1	ENSG45761987310	mash	0.68	143
SREBF1	ENSG45761987310	nafld	0.81	48
SREBF2	ENSG04583717391	type_2_diabetes	0.55	159
SREBF2	ENSG04583717391	obesity	0.41	143
STAP1	ENSG01181052633	type_2_diabetes	0.35	197
STAP1	ENSG01181052633	nafld	0.35	117
STAP1	ENSG01181052633	obesity	0.75	35
STAT1	ENSG42026583531	mash	0.48	23
STAT1	ENSG42026583531	nafld	0.41	107
STAT1	ENSG42026583531	obesity	0.51	20
STAT3	ENSG79088940055	type_2_diabetes	0.49	45
STAT3	ENSG79088940055	mash	0.74	73
STAT3	ENSG79088940055	nafld	0.34	43
STAT5A	ENSG02773868603	obesity	0.32	152
STAT5B	ENSG93954847208	type_2_diabetes	0.34	99
TACE	ENSG82452867081	obesity	0.35	137
TACE	ENSG82452867081	type_2_diabetes	0.54	168
TACE	ENSG82452867081	nafld	0.43	61
TALDO1	ENSG42632008688	obesity	0.74	182
TALDO1	ENSG42632008688	mash	0.38	94
TBG	ENSG98474781314	type_2_diabetes	0.77	83
TFB1M	ENSG11178831613	obesity	0.64	105
TFB2M	ENSG17873510877	type_2_diabetes	0.72	41
TKT	ENSG47217589955	obesity	0.75	99
TLR1	ENSG95237749059	mash	0.57	65
TLR10	ENSG67725333353	mash	0.7	140
TLR10	ENSG67725333353	obesity	0.69	196
TLR10	ENSG67725333353	type_2_diabetes	0.61	147
TLR2	ENSG70116726459	type_2_diabetes	0.64	131
TLR2	ENSG70116726459	obesity	0.33	56
TLR2	ENSG70116726459	mash	0.42	85
TLR3	ENSG13534326348	mash	0.81	34
TLR3	ENSG13534326348	obesity	0.82	129
TLR4	ENSG97379913693	type_2_diabetes	0.82	96
TLR4	ENSG97379913693	mash	0.85	118
TLR4	ENSG97379913693	obesity	0.36	195
TLR5	ENSG68107720553	obesity	0.34	105
TLR5	ENSG68107720553	mash	0.53	180
TLR6	ENSG89091780525	type_2_diabetes	0.4	119
TLR7	ENSG72610150002	nafld	0.32	68
TLR7	ENSG72610150002	mash	0.46	122
TLR7	ENSG72610150002	obesity	0.49	51
TLR8	ENSG07588381503	obesity	0.64	144
TLR8	ENSG07588381503	mash	0.4	110
TLR8	ENSG07588381503	nafld	0.76	23
TLR9	ENSG32966180310	obesity	0.39	109
TLR9	ENSG32966180310	nafld	0.3	115
TM7SF2	ENSG99906403156	nafld	0.39	125
TM7SF2	ENSG99906403156	mash	0.83	183
TPI1	ENSG72954054842	obesity	0.46	81
TPI1	ENSG72954054842	mash	0.44	48
TPI1	ENSG72954054842	nafld	0.41	139
TRAF6	ENSG06784571577	type_2_diabetes	0.7	50
TRAF6	ENSG06784571577	nafld	0.55	53
TRIB1	ENSG39522374043	nafld	0.82	99
TRIB1	ENSG39522374043	type_2_diabetes	0.52	36
TRIB1	ENSG39522374043	mash	0.45	192
TSC1	ENSG14940272244	nafld	0.53	36
TSC1	ENSG14940272244	mash	0.77	152
TSC1	ENSG14940272244	obesity	0.43	174
TSC2	ENSG62564025925	type_2_diabetes	0.34	199
TWNK	ENSG88284350679	mash	0.6	132
TWNK	ENSG88284350679	obesity	0.69	80
TYK2	ENSG40076802480	mash	0.42	191
TYK2	ENSG40076802480	nafld	0.63	69
TYK2	ENSG40076802480	obesity	0.51	23
XBP1	ENSG71456258582	mash	0.68	155
XBP1	ENSG71456258582	nafld	0.76	185
XBP1	ENSG71456258582	obesity	0.78	166
XDH	ENSG93052578742	mash	0.79	133
XDH	ENSG93052578742	type_2_diabetes	0.64	48
XDH	ENSG93052578742	nafld	0.44	154
